A1:1
C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C9 100N:1
D1:1
D10:1
D11:1
D12:1
D13:1
D2:1
D3:1
D4:1
D6:1
D7:1
D8:1
D9:1
G***:2
J13:1
J14:1
J15:1
J16:1
J17:1
J18:1
J19:1
J20:1
J21:1
J22:1
J23:1
J24:1
J25:1
J26:1
J27:1
J28:1
J3:1
J4:1
J6:1
J8:1
J9:1
M1:1
M2:1
M3:1
ON/OFF:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R2:1
R3:1
R4:1
R7:1
R8:1
R9:1
RB 7V:1
SW1_A9:1
SW2_A10:1
SW3_A11:1
U1 74HC14:1
VIN_7V:1
